#Cfactor 1.12287419
Recipient s819 s1090 s1235 s1262 s1482 s1488 s1552 s1956 s1957 s1977 s1983 s2119 s2221 s2232 s2233 s2259 s2277 s2327 s2332 s2333 s2337 s2340 s2341 s2342 s2343 s2348 s2350 s2352 s2353 s2354 s2356 s2357 s2363 s2375 s2376 s2377 s2379 s2380 s2382 s2383 s2392 s2393 s2395 s2396 s2397 s2399 s2402 s2404 s2405 s2411 s2421 s2422 s2426 s2427 s2432 s2433 s2436 s2440 s2445 s2449 s2452 s2454 s2456 s2472 s2474 s2477 s2485 s2496 s2497 s2499 s2500 s2501 s2504 s2506 s2509 s2511 s2513 s2514 s2527 s2528 s2549 s2550 s2551 s2555 s2557 s2563 s2564 s2565 s2566 s2567 s2568 s2569 s2570 s2572 s2573 s2574 s2575 s2585
s819 0 142.432335 149.795531 177.670209 202.584352 130.073481 117.844596 119.45357 156.002844 163.606812 234.376654 153.485249 159.191321 150.459021 122.009516 266.109993 169.69684 236.754434 127.698515 184.979577 169.746853 143.919873 148.812571 159.445935 165.300208 165.945557 141.25978 165.95597 132.70824 146.146805 134.932436 166.001679 143.518578 128.897838 133.515382 214.935719 155.195209 142.709328 162.506785 155.402961 217.060542 163.465446 151.522314 131.951076 171.841967 218.731969 142.924478 127.040978 142.900666 151.334866 124.756963 125.627564 145.698322 122.821393 143.563751 161.195285 150.447789 151.41509 155.748486 165.607994 160.099601 156.464503 155.572461 153.298296 201.49495 122.521457 186.392593 182.845689 144.074556 201.604956 158.061175 169.362786 136.642975 155.327874 155.016682 177.45178 162.582684 148.958872 149.017344 216.869716 137.896573 155.842545 163.512752 153.646936 142.471977 272.181902 141.962882 127.749187 139.051516 152.371237 147.909682 129.356415 137.598259 130.215007 135.233518 120.318308 195.074673 192.875711
s1090 230.172455 0 208.581074 194.654085 173.542563 210.684311 444.503487 184.897409 221.696705 181.819349 182.4641 184.535732 167.710217 218.364207 252.890876 195.239372 187.136836 180.569187 204.208387 168.158324 183.940233 208.847213 237.538105 195.946645 253.241371 222.297331 350.545616 174.118329 205.84693 168.256376 205.333773 237.495612 217.58158 259.481214 258.933833 171.481723 224.631586 165.33477 296.628309 227.771671 210.337011 173.794254 217.521496 168.196237 249.478358 177.725438 208.879752 289.104376 263.91598 190.765295 368.655693 213.695191 180.595853 253.544267 249.809896 173.447929 221.915302 210.437537 279.692245 222.914607 192.879428 178.109128 326.520183 222.487805 179.60792 244.571892 144.995752 190.900587 327.292726 171.571365 262.694368 212.665478 175.692471 220.702013 176.984698 216.309353 195.42678 192.38862 246.843471 360.067487 185.841816 318.349656 210.357435 170.039809 184.616547 177.325922 341.437912 225.896784 238.886094 220.781388 215.949535 257.910235 263.441577 254.406332 196.793051 268.981647 182.516994 268.049723
s1235 259.888377 214.702583 0 198.327703 234.207045 555.571462 202.925593 159.638587 381.597081 190.152312 211.070729 195.26055 176.554309 186.681274 190.947975 259.939973 201.747431 409.734744 205.279637 185.213304 196.491614 197.980391 188.276047 213.698969 219.265691 196.047604 220.566266 189.732714 312.349278 229.696759 192.11086 340.413565 171.617725 212.495355 208.698813 202.807625 225.089838 193.238121 216.61655 256.668162 224.045969 226.39017 193.372246 190.64043 240.998539 232.40523 223.391973 202.221212 211.558486 327.770655 222.100048 201.44671 202.078573 186.528553 200.535846 221.5238 175.578183 210.613776 252.722928 382.049837 195.637618 208.987558 218.868804 237.609135 203.465321 188.910614 214.44408 199.666401 218.167058 241.725883 239.516124 248.330062 194.168572 222.49927 196.245442 234.648838 215.099671 209.898068 203.796412 218.402197 258.148892 221.31119 216.083592 252.977674 201.804907 213.005365 216.108854 205.943251 322.359807 210.848425 218.536951 215.965923 236.579411 217.166904 273.759164 225.436651 275.038642 229.392544
s1262 290.146422 166.531542 171.639677 0 196.322358 160.244639 153.270147 176.700658 175.34215 179.346791 201.041136 185.733685 209.824231 229.501366 158.562306 199.351941 209.639368 166.06905 152.088024 255.592089 258.565445 234.235371 218.110784 219.999782 165.867102 244.172741 196.335018 250.084058 146.091943 167.049508 225.040918 150.127081 230.165873 161.435889 160.577268 270.313569 225.670147 221.924363 267.089708 191.963225 295.216115 232.56576 156.284143 209.863954 190.924131 230.462658 189.247311 155.924043 157.092216 178.63203 156.972197 264.668565 236.888904 166.881955 239.500249 202.474724 168.110322 217.017054 181.973935 177.286562 295.088004 285.854591 185.498069 177.439722 237.766959 176.058482 231.384263 186.972919 166.26465 276.680982 180.876584 224.829006 229.034412 284.469103 219.720069 227.954535 191.313644 195.951119 168.724773 205.071273 179.866301 180.720248 222.95867 168.324305 217.182334 238.732699 171.346192 148.518392 173.706454 179.88832 248.493417 198.517025 186.559978 173.227441 192.239379 187.74327 179.794862 301.228625
s1482 288.309826 146.238881 193.283131 185.798816 0 160.242357 157.255428 160.449209 182.711261 183.710685 259.542671 217.187987 174.902838 183.367469 147.432189 183.815685 271.621616 156.957965 146.031931 178.390164 207.840915 173.076485 153.762017 185.376536 208.82959 238.837352 161.108758 173.499153 142.120884 143.194231 171.940354 182.139701 174.65033 188.008402 150.806129 182.291014 186.924101 208.291683 189.6862 160.31409 207.480901 216.195378 155.640477 204.321373 168.988184 450.369746 191.525699 132.305318 148.184704 161.990783 130.970804 176.983937 188.132136 152.412558 158.430659 276.945916 164.468283 172.809187 176.554118 185.790969 161.832442 200.935342 151.104284 168.828447 296.955637 141.668943 309.72802 217.921529 144.066425 451.176517 200.456289 234.054501 180.732771 203.60134 165.75933 197.787007 193.577599 205.464906 151.150038 197.826678 147.123107 170.335056 235.379797 142.493391 194.958448 245.918939 173.68208 186.26653 191.655224 198.951059 237.785627 168.801449 194.287022 168.871025 160.421546 187.220935 172.545295 186.344919
s1488 222.335804 248.091733 612.866291 200.114597 236.011801 0 292.93554 216.565698 439.604471 187.204894 219.081121 190.301998 171.713555 271.959544 264.573515 225.555931 261.488739 280.936022 288.946444 166.327813 218.306555 203.20437 226.918312 227.365287 251.581488 214.126907 207.103605 162.901405 334.073436 256.735036 246.239141 492.486287 228.998812 266.247662 224.968081 161.40449 245.803862 228.910558 220.977434 233.259163 229.075121 203.489647 185.052777 232.55198 242.958141 257.101369 268.866526 238.496417 207.229495 403.922596 202.015442 230.28596 197.45551 247.090154 234.754022 207.86457 193.865696 250.739176 231.159647 367.382451 213.36357 194.029922 188.816564 234.464623 214.281546 198.85045 182.331919 204.579481 215.974026 189.948589 198.7009 256.483049 209.345243 235.065955 207.719259 204.016911 246.097658 256.968087 192.901197 201.129143 237.904787 223.00721 207.60435 219.657414 219.070635 183.369757 277.029063 232.590254 426.982281 207.626473 223.69931 218.539518 246.569025 236.127151 298.459435 262.917674 222.028167 221.1933
s1552 161.748985 520.911964 252.888283 182.433505 214.085007 284.87703 0 237.474239 216.884792 181.752747 239.033605 188.543174 184.977962 298.671986 508.413451 180.548575 240.974154 160.18804 202.823706 160.201869 236.836846 270.472573 257.938961 204.125697 261.043743 201.05299 315.627883 162.411447 230.077335 173.165742 297.775854 311.186937 255.074024 351.979986 264.738483 160.352407 226.296655 227.848753 294.264126 242.408408 198.385154 186.636974 205.881706 215.834874 236.749585 162.648318 251.230266 406.98102 264.314235 235.511361 584.097081 229.404625 212.024075 279.190278 269.204783 204.694061 222.744439 269.681482 357.650269 230.124956 180.735107 199.814868 346.630312 221.777913 162.719674 217.140752 144.419982 147.412018 320.935699 169.197651 305.417836 208.912057 203.151759 258.572995 196.307253 206.673425 176.223327 187.026192 260.812822 290.204399 170.121322 355.977375 219.787182 169.175393 213.110111 154.588156 425.459557 258.385172 274.929469 252.49139 233.906527 368.869887 304.513115 360.709692 245.498889 282.072507 157.636251 247.282539
s1956 215.459557 211.269642 207.50462 246.938932 235.779343 237.274006 249.615239 0 210.70483 209.548825 283.267487 195.432811 384.405343 323.026934 220.355322 202.53818 295.211251 182.282043 284.364768 311.289985 273.095185 273.503671 305.632415 366.192106 197.927124 310.360381 257.162976 300.571486 245.958361 233.159572 362.845745 224.26845 350.303985 230.997936 221.432108 273.829132 229.19199 483.445184 255.150891 187.51574 244.652701 242.434655 220.662362 384.189519 187.166048 244.380453 214.742169 217.547065 208.353091 256.082142 214.638377 305.789348 377.448404 213.234204 327.356766 237.509223 226.856196 260.568453 215.637571 186.42398 284.165889 235.788308 202.21099 184.926271 249.907816 209.657131 252.146777 164.854063 196.601465 207.643241 183.152683 249.714125 349.434996 298.20222 231.188363 252.59828 175.026591 197.559778 184.622956 182.026568 202.220116 216.594686 230.42677 215.097683 305.258028 218.357445 201.407245 212.613989 210.951582 203.006443 259.586624 227.194285 189.356295 194.115774 302.401314 198.991175 201.769049 284.073678
s1957 258.674821 216.455922 365.762787 188.425918 209.169364 348.926959 187.56438 158.194307 0 159.014786 190.464404 180.466468 140.961565 201.815163 166.944995 195.418343 167.174167 450.629181 181.361429 142.577383 187.938413 177.225581 168.11712 174.471967 235.328616 189.8617 201.69071 138.332084 277.098428 168.193547 166.655049 589.018276 184.89101 189.40082 173.089304 159.189307 195.694309 177.449797 196.185455 232.65895 211.144944 192.356973 161.223536 174.76382 206.391651 221.750661 180.210679 167.803342 164.530644 266.974262 167.646959 165.075494 167.038428 171.755825 185.404194 192.895721 167.169609 204.906825 199.388613 632.633056 167.464363 200.771557 166.672937 172.991945 189.696924 181.346791 191.773664 206.193281 172.335722 200.624407 194.110885 215.780275 158.313197 198.392564 176.840677 182.131641 198.680089 183.390108 196.273929 205.992024 215.007285 210.556554 192.436512 188.310505 194.21058 178.191231 189.326067 187.909277 450.757105 187.507876 169.513357 187.135628 185.539592 177.092708 222.512576 214.335232 222.542266 172.539642
s1977 273.930551 180.63815 206.22824 229.950074 226.868835 183.852876 177.756969 172.146841 181.487864 0 175.616035 441.018254 208.645285 167.895163 215.931134 224.62208 191.169912 237.69659 200.73428 249.056619 197.022027 177.215742 171.413565 170.717732 247.497416 187.631156 193.440481 229.398319 231.480296 244.966648 179.427722 176.050428 164.200264 252.788492 246.453733 273.691147 199.162577 191.522921 175.479988 246.432787 192.515392 215.480726 303.993088 160.161048 263.343786 205.280998 371.83469 195.003809 251.188605 202.07141 227.707528 173.702347 176.314023 209.562852 174.508299 194.29483 184.595106 194.284041 249.468351 186.539666 231.578045 196.543538 248.763506 299.187114 205.902223 235.070643 287.943654 384.783534 240.477777 238.938279 263.045041 208.306225 181.74874 158.876584 244.308564 189.969052 341.39598 324.389207 325.42813 265.212646 199.394731 226.632464 207.951874 225.673656 204.301761 310.535483 242.881523 198.713671 187.870566 314.440671 180.849033 192.210533 273.918689 248.308433 191.687653 244.414806 312.362531 196.248984
